Nom complet,Adresse,Email,Téléphone,Nationalité,Métier,Années d’expérience,Formation,Institution,Compétences,Certificats,Langues parlées,Hobbies,Expériences,Références,Langue du CV,Format,Template
Hodan Samia Djamal Barkat,"Quartier Ambouli, Djibouti",hodan.djamalbarkat@example.com,25377562067,Djibouti,Conducteur d'engins,16,Licence en Conducteur d'engins,Université de Djibouti,"Conduite, Normes de sécurité, Maintenance, Précision","PMP (Université de Djibouti), TOEFL (École Nationale de Commerce), Coursera Machine Learning (Institut de Formation Professionnelle)","Arabe (Courant), Français (Courant), Somali (Courant)","Photographie, Lecture, Football","[""Conducteur d'engins Junior chez Port de Djibouti (2021-2025): Conduite, Maintenance, Normes de sécurité, Coordination, Précision"", ""Conducteur d'engins Senior chez Goncalves (2016-2021): Normes de sécurité, Coordination, Conduite"", ""Conducteur d'engins Senior chez Électricité de Djibouti (2011-2016): Précision, Coordination, Maintenance, Conduite"", ""Conducteur d'engins chez Ministère de l’Éducation (2009-2011): Normes de sécurité, Coordination, Conduite, Précision, Maintenance""]","['Sébastien Delannoy, Collègue, sébastien.delannoy', 'Lucie Giraud du Carpentier, Superviseur, lucie.giraud.du.carpentier']",Français,pdf,modern
Ayan Moustapha Walid Saidou,"Avenue Gabode, Djibouti",ayan.walidsaidou@example.com,25377608779,Djibouti,Grutier,14,Doctorat en {job},École Nationale de Commerce,"Communication, Normes de sécurité, Précision, Coordination, Opération de grues","Cisco CCNA (Institut de Formation Professionnelle), CAPES (Université de Djibouti), Google Data Analytics (Lycée d’État de Djibouti)","Arabe (Courant), Français (Intermédiaire)","Voyage, Lecture, Football, Cuisine","['Grutier Junior chez Roux (2023-2025): Communication, Précision, Opération de grues, Normes de sécurité, Coordination', 'Grutier chez Banque de Djibouti (2020-2023): Coordination, Opération de grues, Précision', 'Grutier Junior chez Banque de Djibouti (2016-2020): Opération de grues, Normes de sécurité', 'Grutier Senior chez Chevallier (2014-2016): Opération de grues, Précision, Coordination, Normes de sécurité', 'Grutier Junior chez Collin (2013-2014): Normes de sécurité, Coordination, Opération de grues']","['Jeannine Letellier, Collègue, jeannine.letellier', 'Antonio Perez, Manager, antonio.perez']",Français,pdf,compact
Ayman Mahamoud Deria Robleh,"Cité Arhiba, Djibouti",ayman.deriarobleh@example.com,25377691005,Djibouti,Chauffeur poids lourd,19,Doctorat en {job},École Nationale de Commerce,"Entretien, Conduite, Navigation, Normes de sécurité","AWS Certified Solutions Architect (Université de Djibouti), Cisco CCNA (Université de Djibouti)","Arabe (Courant), Français (Intermédiaire), Afar (Débutant)","Voyage, Photographie, Musique","['Chauffeur poids lourd chez Hôpital Général Peltier (2022-2025): Navigation, Entretien, Conduite, Normes de sécurité, Respect des horaires', 'Chauffeur poids lourd Junior chez Port de Djibouti (2020-2022): Normes de sécurité, Respect des horaires', 'Chauffeur poids lourd Junior chez Électricité de Djibouti (2019-2020): Normes de sécurité, Entretien, Navigation, Conduite', 'Chauffeur poids lourd chez Électricité de Djibouti (2015-2019): Navigation, Normes de sécurité, Conduite, Respect des horaires', 'Chauffeur poids lourd chez Leduc Barthelemy SARL (2012-2015): Entretien, Conduite, Normes de sécurité, Respect des horaires, Navigation']","['Pierre Perret, Collègue, pierre.perret']",Français,pdf,classic
Rahimo Farhia Saïd Deria,"Rue de Balbala, Djibouti",rahimo.saïdderia@example.com,25377464324,Djibouti,Livreur,14,Doctorat en {job},Lycée d’État de Djibouti,"Conduite sécuritaire, Service client, Navigation, Gestion du temps","Scrum Master (École Nationale de Commerce), First Aid Certification (Centre de Formation Technique de Balbala), PMP (Lycée d’État de Djibouti)","Arabe (Débutant), Français (Débutant)","Musique, Voyage, Football, Photographie","['Livreur Senior chez Lopes SA (2022-2025): Service client, Conduite sécuritaire, Navigation, Livraison', 'Livreur chez Djibouti Telecom (2017-2022): Navigation, Service client, Conduite sécuritaire, Gestion du temps, Livraison', 'Livreur chez Verdier (2014-2017): Conduite sécuritaire, Service client, Navigation', 'Livreur chez Port de Djibouti (2012-2014): Service client, Gestion du temps, Conduite sécuritaire', 'Livreur chez Gomes (2011-2012): Conduite sécuritaire, Navigation']","['Tristan Caron-Turpin, Manager, tristan.caron-turpin', 'Agathe du Gaillard, Collègue, agathe.du.gaillard']",Français,pdf,classic
Anwar Farhiyo Barkhad Robleh,"Avenue Gabode, Djibouti",anwar.barkhadrobleh@example.com,25377840174,Djibouti,Magasinier,20,Licence en Magasinier,Centre de Formation Technique de Balbala,"Informatique, Réception, Expédition, Organisation",TOEFL (Centre de Formation Technique de Balbala),Français (Courant),"Musique, Voyage, Lecture","['Magasinier Senior chez Aéroport International de Djibouti (2022-2025): Organisation, Expédition, Informatique, Gestion des stocks, Réception', 'Magasinier chez Hôpital Général Peltier (2019-2022): Organisation, Expédition, Informatique, Gestion des stocks, Réception', 'Magasinier chez Chauvet Berthelot S.A.S. (2014-2019): Gestion des stocks, Réception, Organisation', 'Magasinier Senior chez Hôpital Général Peltier (2009-2014): Informatique, Expédition, Réception, Organisation', 'Magasinier Junior chez Dupuy (2008-2009): Réception, Organisation, Expédition, Gestion des stocks, Informatique']","['Marcel-Bernard Fabre, Manager, marcel-bernard.fabre']",Français,pdf,compact
Rukia Farhia Salah Djamal,"Cité Arhiba, Djibouti",rukia.salahdjamal@example.com,25377719343,Djibouti,Employé de banque,5,Master en Employé de banque,École Nationale de Commerce,"Précision, Communication, Service client, Connaissance bancaire, Gestion de transactions","Google Data Analytics (École Nationale de Commerce), CAPES (Institut de Formation Professionnelle), Microsoft Certified: Azure Fundamentals (Université de Djibouti)","Arabe (Courant), Français (Courant)","Musique, Football, Lecture, Voyage","['Employé de banque Senior chez Port de Djibouti (2024-2025): Précision, Service client, Communication, Gestion de transactions, Connaissance bancaire', 'Employé de banque Junior chez Électricité de Djibouti (2020-2024): Précision, Communication, Service client, Gestion de transactions']","['Brianna Hernandez, Collègue, brianna.hernandez']",Français,pdf,classic
Hugo Ivanov,"64, rue de Maurice
47723 Langlois",hugo.ivanov@example.com,25377329543,French,Caissier,9,BTS en Caissier,Centre de Formation Technique de Balbala,"Gestion de caisse, Communication, Comptabilité de base, Travail sous pression","IELTS (Centre de Formation Technique de Balbala), AWS Certified Solutions Architect (École Nationale de Commerce), Coursera Machine Learning (Centre de Formation Technique de Balbala)",Français (Débutant),"Lecture, Photographie, Musique, Voyage","['Caissier Senior chez Ministère de l’Éducation (2023-2025): Comptabilité de base, Travail sous pression, Communication, Service client', 'Caissier Junior chez Nicolas S.A. (2022-2023): Travail sous pression, Comptabilité de base', 'Caissier Junior chez Meunier (2021-2022): Service client, Travail sous pression', 'Caissier Senior chez Électricité de Djibouti (2020-2021): Comptabilité de base, Communication, Travail sous pression']","['Philippine Guillou, Manager, philippine.guillou']",Français,pdf,modern
Fadumo Anwar Mahamoud Saidou,"Boulevard de la République, Djibouti",fadumo.mahamoudsaidou@example.com,25377686982,Djibouti,Vendeur,6,Doctorat en {job},Lycée d’État de Djibouti,"Service client, Connaissance des produits, Négociation, Vente","Google Data Analytics (École Nationale de Commerce), PMP (Université de Djibouti)","Arabe (Intermédiaire), Somali (Débutant), Afar (Débutant)","Cuisine, Lecture","['Vendeur chez Port de Djibouti (2022-2025): Connaissance des produits, Négociation', 'Vendeur Senior chez Ministère de l’Éducation (2019-2022): Communication, Connaissance des produits, Vente']","['Julien Gaudin, Manager, julien.gaudin', 'Alix de la Rolland, Collègue, alix.de.la.rolland']",Français,pdf,classic
Muse Mahad Farhan Mahamoud,"Avenue Gabode, Djibouti",muse.farhanmahamoud@example.com,25377437439,Djibouti,Manager de magasin,17,Licence en Manager de magasin,Lycée d’État de Djibouti,"Budgétisation, Gestion des stocks, Vente, Gestion d'équipe, Communication","AWS Certified Solutions Architect (Université de Djibouti), Cisco CCNA (Université de Djibouti), TOEFL (Université de Djibouti)",Français (Débutant),"Football, Voyage, Cuisine, Lecture","['Manager de magasin chez Djibouti Telecom (2020-2025): Communication, Gestion des stocks, Vente', 'Manager de magasin Senior chez Godard (2015-2020): Gestion des stocks, Vente, Budgétisation', ""Manager de magasin Senior chez Électricité de Djibouti (2014-2015): Gestion des stocks, Gestion d'équipe"", 'Manager de magasin chez Électricité de Djibouti (2010-2014): Budgétisation, Gestion des stocks', ""Manager de magasin Senior chez Chauvin Charpentier SA (2008-2010): Communication, Gestion d'équipe""]","['Bernard de la Masse, Manager, bernard.de.la.masse', 'Anaïs Bourdon de Masson, Collègue, anaïs.bourdon.de.masson']",Français,pdf,compact
Houssein Jawahir Barre Awaleh,"Boulevard de la République, Djibouti",houssein.barreawaleh@example.com,25377378089,Djibouti,Merchandiser,7,Licence en Merchandiser,Institut de Formation Professionnelle,"Présentation visuelle, Gestion des stocks, Communication, Créativité",IELTS (École Nationale de Commerce),"Arabe (Débutant), Français (Courant), Somali (Intermédiaire)","Photographie, Musique, Cuisine","['Merchandiser Junior chez Hôpital Général Peltier (2021-2025): Présentation visuelle, Communication, Créativité', 'Merchandiser Senior chez Ministère de l’Éducation (2019-2021): Communication, Gestion des stocks', 'Merchandiser Senior chez Banque de Djibouti (2018-2019): Communication, Présentation visuelle, Analyse des ventes, Créativité']","['Dr. Lori Burnett, Manager, dr..lori.burnett']",Français,pdf,modern
Naima Tahlil Barre Awaleh,"Cité Arhiba, Djibouti",naima.barreawaleh@example.com,25377544167,Djibouti,Sommelier,1,BTS en Sommelier,École Nationale de Commerce,"Gestion de cave, Dégustation, Conseil client, Connaissance des vins, Communication","CFA Level 1 (Centre de Formation Technique de Balbala), TOEFL (Université de Djibouti)","Arabe (Courant), Français (Courant)","Cuisine, Football, Musique, Voyage","['Sommelier Senior chez Diallo Leroy S.A.R.L. (2024-2025): Connaissance des vins, Communication']","['Jonathan Neal, Superviseur, jonathan.neal', 'Lucie Lambert, Manager, lucie.lambert']",Français,pdf,modern
Nuradin Sulekha Barkat Awaleh,"Cité Arhiba, Djibouti",nuradin.barkatawaleh@example.com,25377791526,Djibouti,Œnologue,13,Diplôme professionnel,Centre de Formation Technique de Balbala,"Vinification, Analyse chimique, Gestion de production, Dégustation, Recherche","Google Data Analytics (Université de Djibouti), TOEFL (Centre de Formation Technique de Balbala)","Arabe (Intermédiaire), Français (Intermédiaire), Afar (Intermédiaire)","Voyage, Lecture, Photographie","['Œnologue chez Charpentier (2024-2025): Dégustation, Vinification, Recherche', 'Œnologue Senior chez Rossi (2020-2024): Recherche, Vinification', 'Œnologue Junior chez Brunet et Fils (2019-2020): Analyse chimique, Gestion de production, Dégustation, Vinification']","['Hélène Delaunay, Manager, hélène.delaunay']",Français,pdf,compact
Hassan Abdirahman Abokor Wais,"Cité Arhiba, Djibouti",hassan.abokorwais@example.com,25377987243,Djibouti,Viticulteur,15,Baccalauréat,École Nationale de Commerce,"Récolte, Entretien, Connaissance des sols, Gestion","CAPES (École Nationale de Commerce), Coursera Machine Learning (Université de Djibouti)","Arabe (Débutant), Français (Courant), Somali (Courant)","Musique, Photographie","['Viticulteur Junior chez Ministère de l’Éducation (2020-2025): Entretien, Connaissance des sols', 'Viticulteur Senior chez Dijoux (2019-2020): Gestion, Récolte, Entretien, Culture de la vigne, Connaissance des sols', 'Viticulteur chez Banque de Djibouti (2017-2019): Gestion, Récolte, Connaissance des sols', 'Viticulteur Senior chez Port de Djibouti (2015-2017): Gestion, Connaissance des sols, Culture de la vigne', 'Viticulteur chez Aéroport International de Djibouti (2011-2015): Culture de la vigne, Gestion, Récolte, Connaissance des sols, Entretien']","['Émilie Vallet, Manager, émilie.vallet']",Français,pdf,classic
Idriss Ahmed Awaleh Guedi,"Quartier Ambouli, Djibouti",idriss.awalehguedi@example.com,25377515199,Djibouti,Brasseur,14,BTS en Brasseur,Lycée d’État de Djibouti,"Connaissance des ingrédients, Brassage, Hygiène, Contrôle qualité, Créativité","First Aid Certification (Université de Djibouti), Microsoft Certified: Azure Fundamentals (Centre de Formation Technique de Balbala), AWS Certified Solutions Architect (Lycée d’État de Djibouti)","Arabe (Intermédiaire), Français (Courant)","Football, Photographie, Cuisine","['Brasseur chez Gillet (2021-2025): Contrôle qualité, Créativité, Brassage, Connaissance des ingrédients, Hygiène', 'Brasseur Junior chez Rolland (2020-2021): Brassage, Hygiène', 'Brasseur chez Chauveau (2017-2020): Brassage, Hygiène']","['Adèle de Perrier, Manager, adèle.de.perrier', 'Lucie de Legrand, Superviseur, lucie.de.legrand']",Français,pdf,compact
Farhia Barkhad Barkhad Muse,"Quartier Ambouli, Djibouti",farhia.barkhadmuse@example.com,25377570636,Djibouti,Distillateur,17,Licence en Distillateur,Lycée d’État de Djibouti,"Distillation, Précision, Hygiène, Contrôle qualité, Connaissance des alcools","First Aid Certification (Centre de Formation Technique de Balbala), CFA Level 1 (Institut de Formation Professionnelle)","Arabe (Courant), Français (Intermédiaire)","Voyage, Photographie, Musique","['Distillateur Junior chez Ministère de l’Éducation (2024-2025): Hygiène, Contrôle qualité, Précision, Connaissance des alcools, Distillation', 'Distillateur chez Aéroport International de Djibouti (2022-2024): Hygiène, Connaissance des alcools, Distillation', 'Distillateur Senior chez Petit SA (2020-2022): Contrôle qualité, Distillation, Hygiène, Précision, Connaissance des alcools', 'Distillateur Junior chez Salmon Charles SA (2017-2020): Connaissance des alcools, Précision, Distillation, Hygiène, Contrôle qualité']","['Luce Diaz, Superviseur, luce.diaz']",Français,pdf,modern
Nura Farah Abdirahman Muse,"Rue de Balbala, Djibouti",nura.abdirahmanmuse@example.com,25377609262,Djibouti,Apiculteur,17,Licence en Apiculteur,École Nationale de Commerce,"Entretien, Commercialisation, Connaissance des abeilles, Gestion des ruches, Récolte de miel",CompTIA Security+ (École Nationale de Commerce),Afar (Courant),"Photographie, Football, Musique","['Apiculteur chez Port de Djibouti (2024-2025): Connaissance des abeilles, Gestion des ruches', 'Apiculteur Senior chez Dias SARL (2022-2024): Récolte de miel, Gestion des ruches, Connaissance des abeilles, Commercialisation', 'Apiculteur Senior chez Électricité de Djibouti (2017-2022): Gestion des ruches, Commercialisation, Récolte de miel, Entretien, Connaissance des abeilles', 'Apiculteur Senior chez Gallet S.A.R.L. (2012-2017): Récolte de miel, Entretien, Gestion des ruches, Connaissance des abeilles']","['Christine Fernandes, Collègue, christine.fernandes', 'Auguste Lecomte, Manager, auguste.lecomte']",Français,pdf,classic
Saynab Ikram Guedi Awaleh,"Rue de Balbala, Djibouti",saynab.guediawaleh@example.com,25377124959,Djibouti,Éleveur,15,Master en Éleveur,Lycée d’État de Djibouti,"Maintenance, Soins aux animaux, Connaissance animale, Gestion d'élevage, Commercialisation","CFA Level 1 (Centre de Formation Technique de Balbala), TOEFL (Centre de Formation Technique de Balbala)","Arabe (Débutant), Français (Courant)","Musique, Lecture, Football, Voyage","[""Éleveur Junior chez Banque de Djibouti (2023-2025): Maintenance, Soins aux animaux, Connaissance animale, Gestion d'élevage"", ""Éleveur Senior chez Électricité de Djibouti (2021-2023): Connaissance animale, Commercialisation, Soins aux animaux, Gestion d'élevage"", ""Éleveur Senior chez Port de Djibouti (2017-2021): Maintenance, Connaissance animale, Gestion d'élevage, Soins aux animaux, Commercialisation"", ""Éleveur Junior chez Électricité de Djibouti (2013-2017): Soins aux animaux, Connaissance animale, Gestion d'élevage""]","['Steven Johnson, Collègue, steven.johnson', 'Pierre Gros, Superviseur, pierre.gros']",Français,pdf,modern
Madar Muse Mahamoud Djamal,"Rue de Balbala, Djibouti",madar.mahamouddjamal@example.com,25377453676,Djibouti,Vacher,0,BTS en Vacher,Institut de Formation Professionnelle,"Hygiène, Soins aux vaches, Traite, Connaissance animale, Entretien","CAPES (Université de Djibouti), IELTS (Centre de Formation Technique de Balbala)","Arabe (Intermédiaire), Français (Intermédiaire), Afar (Intermédiaire), Anglais (Courant)","Voyage, Musique",[],"['Thierry Guibert, Superviseur, thierry.guibert']",Français,pdf,classic
Anab Djamal Awaleh Barkat,"Boulevard de la République, Djibouti",anab.awalehbarkat@example.com,25377241790,Djibouti,Berger,18,BTS en Berger,Université de Djibouti,"Entretien, Soins aux animaux, Gestion du troupeau, Connaissance animale, Navigation",TOEFL (Institut de Formation Professionnelle),"Français (Intermédiaire), Anglais (Intermédiaire)","Cuisine, Photographie","['Berger chez Étienne (2023-2025): Navigation, Connaissance animale', 'Berger Senior chez Marchand SA (2020-2023): Gestion du troupeau, Soins aux animaux', 'Berger chez Banque de Djibouti (2016-2020): Soins aux animaux, Gestion du troupeau', 'Berger Senior chez Berthelot (2014-2016): Gestion du troupeau, Soins aux animaux, Connaissance animale', 'Berger Junior chez Martinez (2010-2014): Connaissance animale, Gestion du troupeau, Soins aux animaux, Entretien, Navigation', 'Berger chez Aéroport International de Djibouti (2008-2010): Navigation, Gestion du troupeau']","['Hortense Pelletier du Le Roux, Collègue, hortense.pelletier.du.le.roux', 'Adélaïde Roche du Rousset, Collègue, adélaïde.roche.du.rousset']",Français,pdf,modern
Sharmarke Fadumo Muse Saïd,"Boulevard de la République, Djibouti",sharmarke.musesaïd@example.com,25377383687,Djibouti,Maraîcher,6,BTS en Maraîcher,Centre de Formation Technique de Balbala,"Irrigation, Commercialisation, Récolte, Connaissance des sols, Culture maraîchère","CFA Level 1 (Centre de Formation Technique de Balbala), Scrum Master (Institut de Formation Professionnelle), First Aid Certification (École Nationale de Commerce)","Arabe (Débutant), Français (Intermédiaire), Afar (Courant)","Photographie, Cuisine","['Maraîcher chez Port de Djibouti (2022-2025): Récolte, Irrigation, Connaissance des sols, Culture maraîchère, Commercialisation', 'Maraîcher Senior chez Dupuis (2019-2022): Irrigation, Commercialisation, Récolte, Culture maraîchère']","['Charles-Bernard Boulay, Collègue, charles-bernard.boulay']",Français,pdf,compact
Amina Mako Deria Robleh,"Cité Arhiba, Djibouti",amina.deriarobleh@example.com,25377782687,Djibouti,Arboriculteur,14,Baccalauréat,Centre de Formation Technique de Balbala,"Culture d'arbres fruitiers, Connaissance des sols, Taille, Récolte, Entretien",Coursera Machine Learning (Institut de Formation Professionnelle),"Arabe (Intermédiaire), Français (Débutant), Somali (Débutant), Anglais (Courant)","Photographie, Voyage","[""Arboriculteur chez Aéroport International de Djibouti (2024-2025): Entretien, Récolte, Culture d'arbres fruitiers"", ""Arboriculteur Senior chez Marin (2020-2024): Taille, Connaissance des sols, Entretien, Récolte, Culture d'arbres fruitiers"", ""Arboriculteur chez Hôpital Général Peltier (2017-2020): Récolte, Culture d'arbres fruitiers, Connaissance des sols, Taille"", ""Arboriculteur chez Buisson S.A. (2014-2017): Culture d'arbres fruitiers, Taille, Entretien, Connaissance des sols"", ""Arboriculteur Senior chez Port de Djibouti (2013-2014): Récolte, Culture d'arbres fruitiers""]","['Michel Dias, Superviseur, michel.dias']",Français,pdf,compact
Bashira Zakaria Ali Robleh,"Boulevard de la République, Djibouti",bashira.alirobleh@example.com,25377655793,Djibouti,Pépiniériste,13,Licence en Pépiniériste,Lycée d’État de Djibouti,"Entretien, Culture de plantes, Commercialisation, Greffage, Connaissance botanique","Microsoft Certified: Azure Fundamentals (Université de Djibouti), AWS Certified Solutions Architect (Centre de Formation Technique de Balbala)","Arabe (Courant), Français (Intermédiaire), Somali (Intermédiaire)","Photographie, Football, Lecture, Voyage","['Pépiniériste Senior chez Port de Djibouti (2021-2025): Connaissance botanique, Culture de plantes, Entretien, Commercialisation', 'Pépiniériste chez Deschamps Texier SARL (2019-2021): Connaissance botanique, Entretien, Commercialisation', 'Pépiniériste Senior chez Banque de Djibouti (2015-2019): Greffage, Culture de plantes, Commercialisation, Entretien', 'Pépiniériste Junior chez Port de Djibouti (2014-2015): Commercialisation, Connaissance botanique, Greffage', 'Pépiniériste Senior chez Électricité de Djibouti (2013-2014): Greffage, Connaissance botanique, Entretien']","['Laure Chauvin, Collègue, laure.chauvin']",Français,pdf,modern
Sahra Barre Omar Abdi,"Boulevard de la République, Djibouti",sahra.omarabdi@example.com,25377451655,Djibouti,Semencier,3,Diplôme professionnel,Institut de Formation Professionnelle,"Connaissance botanique, Recherche, Commercialisation, Production de semences, Contrôle qualité","Coursera Machine Learning (Université de Djibouti), AWS Certified Solutions Architect (Lycée d’État de Djibouti), First Aid Certification (Université de Djibouti)","Arabe (Intermédiaire), Français (Intermédiaire)","Voyage, Cuisine, Lecture, Photographie","['Semencier chez Poulain (2022-2025): Connaissance botanique, Production de semences']","['Gilbert Costa, Superviseur, gilbert.costa', 'Adélaïde Guilbert, Manager, adélaïde.guilbert']",Français,pdf,compact
Khadija Shaafi Walid Nour,"Avenue Gabode, Djibouti",khadija.walidnour@example.com,25377383797,Djibouti,Paysan,0,Master en Paysan,Université de Djibouti,"Élevage, Agriculture, Connaissance des sols, Gestion de ferme, Commercialisation",IELTS (Centre de Formation Technique de Balbala),"Arabe (Intermédiaire), Français (Courant)","Photographie, Musique, Cuisine",[],"['Frédéric Chevalier-Georges, Manager, frédéric.chevalier-georges', 'Yves Evrard, Collègue, yves.evrard']",Français,pdf,modern
Madar Gedi Ismail Deria,"Avenue Gabode, Djibouti",madar.ismailderia@example.com,25377573878,Djibouti,Technicien agricole,12,BTS en Technicien agricole,Lycée d’État de Djibouti,"Utilisation de machines, Gestion des cultures, Analyse des sols, Rapport","IELTS (Institut de Formation Professionnelle), CompTIA Security+ (Institut de Formation Professionnelle)","Arabe (Intermédiaire), Français (Courant)","Lecture, Cuisine","['Technicien agricole Junior chez Ministère de l’Éducation (2023-2025): Utilisation de machines, Rapport, Analyse des sols, Gestion des cultures, Conseil', 'Technicien agricole Junior chez Aéroport International de Djibouti (2021-2023): Rapport, Utilisation de machines, Analyse des sols', 'Technicien agricole chez Banque de Djibouti (2017-2021): Analyse des sols, Rapport, Conseil, Gestion des cultures', 'Technicien agricole Senior chez Auger Mercier S.A. (2015-2017): Analyse des sols, Conseil, Utilisation de machines', 'Technicien agricole Senior chez Aéroport International de Djibouti (2014-2015): Rapport, Gestion des cultures, Analyse des sols, Conseil, Utilisation de machines']","['Alain Ribeiro, Superviseur, alain.ribeiro']",Français,pdf,modern
Mako Mohamed Barkhad Robleh,"Cité Arhiba, Djibouti",mako.barkhadrobleh@example.com,25377900565,Djibouti,Vulcanologue,19,Master en Vulcanologue,Université de Djibouti,"Rapport, Cartographie, Recherche, Analyse volcanique, Évaluation des risques","CompTIA Security+ (Université de Djibouti), CFA Level 1 (Centre de Formation Technique de Balbala), Google Data Analytics (Centre de Formation Technique de Balbala)","Arabe (Courant), Français (Débutant), Anglais (Intermédiaire)","Lecture, Photographie, Voyage, Musique","['Vulcanologue chez Gomes S.A.S. (2020-2025): Rapport, Cartographie, Recherche, Évaluation des risques', 'Vulcanologue Junior chez Djibouti Telecom (2017-2020): Recherche, Rapport, Évaluation des risques, Cartographie', 'Vulcanologue chez Blondel (2015-2017): Analyse volcanique, Recherche, Évaluation des risques, Rapport, Cartographie', 'Vulcanologue chez Banque de Djibouti (2014-2015): Cartographie, Rapport, Analyse volcanique', 'Vulcanologue Senior chez Aéroport International de Djibouti (2012-2014): Évaluation des risques, Rapport, Recherche', 'Vulcanologue Senior chez Millet (2011-2012): Recherche, Évaluation des risques, Analyse volcanique']","['Erin Cisneros, Collègue, erin.cisneros', 'Antoinette Roy, Collègue, antoinette.roy']",Français,pdf,modern
Clément Williams,"69, chemin de Brun
84592 Clémentdan",clément.williams@example.com,25377460063,French,Sismologue,15,Licence en Sismologue,École Nationale de Commerce,"Analyse sismique, Recherche, Rapport, Modélisation",PMP (Centre de Formation Technique de Balbala),"Français (Débutant), Anglais (Courant)","Lecture, Cuisine","['Sismologue Senior chez Gonzalez (2023-2025): Analyse sismique, Rapport, Évaluation des risques, Recherche', 'Sismologue Senior chez Joubert (2022-2023): Modélisation, Recherche, Évaluation des risques, Analyse sismique', 'Sismologue chez Ministère de l’Éducation (2018-2022): Modélisation, Analyse sismique, Recherche', 'Sismologue Senior chez Delorme (2015-2018): Analyse sismique, Rapport, Recherche, Modélisation']","['Antoinette Meunier, Collègue, antoinette.meunier', 'Todd Higgins, Collègue, todd.higgins']",Français,pdf,classic
Rahimo Tahlil Abdirahman Muse,"Avenue Gabode, Djibouti",rahimo.abdirahmanmuse@example.com,25377143763,Djibouti,Hydrologue,19,Baccalauréat,École Nationale de Commerce,"Analyse de l'eau, Gestion des ressources, Modélisation, Rapport, Recherche","Coursera Machine Learning (Centre de Formation Technique de Balbala), CompTIA Security+ (Lycée d’État de Djibouti)","Arabe (Débutant), Somali (Intermédiaire), Afar (Débutant)","Photographie, Lecture, Voyage","['Hydrologue chez Costa (2020-2025): Rapport, Recherche', 'Hydrologue Junior chez Aéroport International de Djibouti (2017-2020): Recherche, Gestion des ressources', ""Hydrologue chez Ministère de l’Éducation (2015-2017): Analyse de l'eau, Modélisation"", 'Hydrologue Junior chez Banque de Djibouti (2010-2015): Gestion des ressources, Recherche, Modélisation', 'Hydrologue chez Vallet S.A.S. (2006-2010): Gestion des ressources, Recherche']","['Roger Voisin, Superviseur, roger.voisin']",Français,pdf,compact
Maxime Rossi,"24, avenue de Rousset
97341 Martin-les-Bains",maxime.rossi@example.com,25377793486,French,Glaciologue,11,Doctorat en {job},Université de Djibouti,"Recherche, Échantillonnage, Modélisation, Analyse des glaciers, Rapport","Coursera Machine Learning (Lycée d’État de Djibouti), CFA Level 1 (Université de Djibouti)",Français (Débutant),"Photographie, Voyage, Lecture, Football","['Glaciologue chez Hôpital Général Peltier (2022-2025): Analyse des glaciers, Modélisation', 'Glaciologue chez Djibouti Telecom (2019-2022): Rapport, Modélisation, Recherche', 'Glaciologue Senior chez Rousseau (2018-2019): Analyse des glaciers, Recherche, Rapport, Échantillonnage', 'Glaciologue Junior chez Port de Djibouti (2017-2018): Analyse des glaciers, Rapport, Modélisation, Recherche, Échantillonnage']","['Margaud Joseph, Manager, margaud.joseph']",Français,pdf,classic
Halima Ifra Mohamed Farhan,"Boulevard de la République, Djibouti",halima.mohamedfarhan@example.com,25377213627,Djibouti,Cartographe,10,Doctorat en {job},École Nationale de Commerce,"SIG, Précision, Analyse spatiale, Cartographie","Coursera Machine Learning (Lycée d’État de Djibouti), PMP (Lycée d’État de Djibouti), TOEFL (Centre de Formation Technique de Balbala)","Arabe (Courant), Français (Intermédiaire), Somali (Intermédiaire)","Lecture, Voyage, Cuisine, Musique","['Cartographe Junior chez Banque de Djibouti (2022-2025): Analyse spatiale, Cartographie, SIG, Précision', 'Cartographe Senior chez Banque de Djibouti (2017-2022): Précision, SIG, Cartographie, Logiciels, Analyse spatiale', 'Cartographe chez Port de Djibouti (2015-2017): Logiciels, SIG, Cartographie, Analyse spatiale, Précision']","['Françoise Joseph, Manager, françoise.joseph']",Français,pdf,compact
Ali Gebre,"PSC 2835, Box 8790
APO AA 31872",ali.gebre@example.com,25377728702,Other,Topographe,14,Baccalauréat,Université de Djibouti,"Mesures topographiques, Utilisation d'équipements, Précision, Rapport, Cartographie",CAPES (Lycée d’État de Djibouti),"Arabe (Débutant), Français (Courant)","Football, Voyage, Cuisine","[""Topographe Senior chez Ministère de l’Éducation (2022-2025): Mesures topographiques, Utilisation d'équipements, Rapport, Cartographie, Précision"", 'Topographe Senior chez Delahaye (2019-2022): Précision, Rapport', 'Topographe Junior chez Hôpital Général Peltier (2014-2019): Mesures topographiques, Rapport, Cartographie, Précision']","['Luc Dumont, Superviseur, luc.dumont', 'Alphonse Andre, Collègue, alphonse.andre']",Français,pdf,compact
